Pitot/static Probe Velocity [m/s], Hotwire Ev [Volts]
-0.204,  1.257
-0.179,  1.256
-0.133,  1.255
-0.128,  1.260
0.221,  1.254
0.254,  1.302
0.285,  1.279
0.302,  1.266
0.342,  1.253
0.354,  1.271
0.363,  1.274
0.367,  1.282
0.369,  1.310
0.390,  1.262
0.430,  1.293
0.484,  1.297
0.485,  1.323
0.491,  1.290
0.517,  1.286
0.546,  1.350
0.551,  1.369
0.692,  1.380
0.716,  1.385
0.725,  1.400
0.740,  1.393
0.741,  1.396
0.851,  1.405
0.865,  1.417
0.867,  1.411
0.934,  1.424
0.940,  1.431
0.964,  1.437
1.134,  1.451
1.137,  1.444
1.192,  1.458
1.300,  1.464
1.369,  1.471
1.482,  1.479
1.507,  1.486
1.564,  1.494
1.649,  1.500
1.704,  1.507
1.799,  1.514
1.812,  1.518
1.916,  1.523
1.990,  1.526
2.049,  1.533
2.090,  1.537
2.092,  1.543
2.203,  1.547
2.240,  1.549
2.329,  1.555
2.444,  1.562
2.480,  1.566
2.508,  1.568
2.587,  1.574
2.665,  1.577
2.710,  1.581
2.783,  1.586
2.893,  1.592
2.921,  1.595
3.007,  1.599
3.060,  1.603
3.133,  1.608
3.169,  1.610
3.189,  1.610
3.239,  1.614
3.279,  1.616
3.329,  1.618
3.403,  1.621
3.463,  1.625
3.561,  1.630
3.643,  1.635
3.718,  1.638
3.734,  1.640
3.866,  1.646
3.914,  1.648
4.008,  1.652
4.068,  1.656
4.165,  1.660
4.226,  1.663
4.279,  1.667
4.334,  1.668
4.418,  1.673
4.474,  1.675
4.529,  1.677
4.580,  1.680
4.684,  1.684
4.734,  1.687
4.816,  1.690
4.891,  1.693
4.941,  1.695
5.034,  1.699
5.099,  1.701
5.170,  1.704
5.197,  1.705
5.236,  1.707
5.323,  1.711
5.412,  1.714
5.533,  1.718
5.566,  1.720
5.657,  1.723
5.696,  1.725
5.778,  1.728
5.905,  1.733
5.963,  1.735
6.036,  1.738
6.133,  1.741
6.149,  1.741
6.239,  1.744
6.294,  1.746
6.364,  1.749
6.458,  1.752
6.534,  1.755
6.603,  1.757
6.688,  1.760
6.738,  1.762
6.792,  1.763
6.890,  1.767
6.939,  1.768
6.997,  1.770
7.042,  1.772
7.162,  1.775
7.295,  1.780
7.343,  1.781
7.436,  1.784
7.509,  1.785
7.587,  1.788
7.695,  1.791
7.743,  1.792
7.789,  1.794
7.839,  1.795
7.868,  1.797
7.942,  1.799
8.002,  1.800
8.061,  1.802
8.134,  1.804
8.204,  1.806
8.264,  1.808
8.280,  1.808
8.286,  1.809
8.386,  1.812
8.496,  1.815
8.599,  1.818
8.614,  1.818
8.665,  1.820
8.780,  1.823
8.903,  1.826
8.969,  1.828
9.051,  1.830
9.124,  1.832
9.228,  1.835
9.304,  1.837
9.367,  1.839
9.489,  1.842
9.557,  1.843
9.659,  1.846
9.742,  1.849
9.813,  1.850
9.876,  1.852
9.972,  1.854
9.979,  1.854
10.075,  1.857
10.176,  1.859
10.197,  1.859
10.243,  1.860
10.261,  1.861
10.382,  1.864
10.494,  1.867
10.556,  1.868
10.591,  1.869
10.654,  1.870
10.812,  1.874
10.834,  1.875
10.954,  1.878
11.001,  1.878
11.003,  1.878
11.009,  1.878
11.034,  1.878
11.041,  1.879
11.044,  1.878
11.055,  1.879
11.055,  1.880
11.056,  1.879
11.066,  1.879
11.075,  1.880
11.086,  1.880
11.088,  1.881
11.097,  1.881
11.099,  1.881
11.101,  1.878
11.135,  1.879
11.139,  1.880
11.140,  1.880
11.143,  1.880
11.151,  1.880
11.154,  1.880
11.163,  1.881
11.165,  1.880
11.173,  1.881
11.182,  1.881
11.191,  1.880
11.199,  1.880
11.237,  1.882
11.247,  1.882
11.275,  1.883
11.334,  1.884
11.380,  1.886
11.424,  1.887
11.444,  1.887
11.460,  1.888
11.489,  1.888
11.511,  1.888
11.580,  1.890
11.696,  1.893
11.756,  1.894
11.805,  1.894
11.820,  1.895
11.928,  1.897
11.992,  1.899
12.016,  1.900
12.032,  1.900
12.058,  1.901
12.077,  1.901
12.111,  1.902
12.126,  1.902
12.172,  1.903
12.231,  1.904
12.298,  1.906
12.516,  1.911
12.843,  1.918
13.265,  1.927
13.910,  1.939
14.469,  1.950
14.679,  1.954
14.732,  1.955
14.868,  1.958
14.894,  1.959
14.912,  1.959
15.142,  1.963
15.591,  1.971
16.021,  1.978
16.828,  1.992
17.852,  2.009
18.857,  2.025
20.567,  2.052
21.385,  2.064
21.482,  2.065
21.584,  2.066
21.795,  2.069
21.999,  2.073
22.427,  2.078
22.710,  2.082
22.729,  2.083
22.926,  2.085
23.306,  2.091
23.654,  2.095
23.910,  2.099
24.014,  2.099
24.200,  2.102
24.503,  2.105
24.765,  2.109
24.983,  2.111
25.255,  2.115
25.271,  2.114
25.289,  2.115
25.292,  2.115
25.502,  2.117
25.579,  2.118
25.607,  2.118
25.836,  2.122
25.941,  2.123
26.013,  2.124
26.084,  2.125
26.114,  2.126
26.116,  2.126
26.267,  2.128
