Lateral Position [mm],Pitot/Static Vel [m/s],Pitot/Static Vel Stdev [m/s],Hot Wire Vel [m/s],Hot Wire Vel Stdev [m/s]
-60.000,19.871,0.124,20.917,0.339
-58.000,19.884,0.130,20.888,0.391
-56.000,19.932,0.127,21.028,0.395
-54.000,19.860,0.152,20.727,0.503
-52.000,19.948,0.161,20.782,0.559
-50.000,19.845,0.147,20.684,0.658
-48.000,19.869,0.178,20.649,0.813
-46.000,19.820,0.207,20.556,0.952
-44.000,19.913,0.240,20.630,1.100
-42.000,20.001,0.312,20.663,1.422
-40.000,19.911,0.423,20.517,1.608
-38.000,19.851,0.428,20.331,1.843
-36.000,19.758,0.518,20.178,2.076
-34.000,19.742,0.579,20.132,2.309
-32.000,19.598,0.737,20.017,2.637
-30.000,19.527,0.832,19.908,2.809
-28.000,19.435,0.870,19.795,3.064
-26.000,19.392,0.920,19.695,3.357
-24.000,19.237,0.997,19.382,3.558
-22.000,19.069,1.022,19.204,3.852
-20.000,18.939,1.066,18.909,4.119
-18.000,18.685,1.185,18.748,4.259
-16.000,18.443,1.249,18.455,4.477
-14.000,17.970,1.336,18.010,4.834
-12.000,17.629,1.433,17.634,4.842
-10.000,17.045,1.695,17.177,4.889
-8.000,16.557,1.879,17.134,4.776
-6.000,15.958,2.209,16.964,4.724
-4.000,15.144,2.444,16.690,4.734
-2.000,14.645,2.675,16.561,4.593
0.000,14.539,2.704,16.741,4.646
2.000,14.427,2.827,16.618,4.698
4.000,14.863,2.422,16.873,4.748
6.000,15.378,2.337,17.175,4.761
8.000,16.029,1.985,17.514,4.738
10.000,16.620,1.695,17.880,4.691
12.000,17.220,1.626,17.999,4.595
14.000,17.856,1.406,18.242,4.467
16.000,18.258,1.329,18.697,4.173
18.000,18.698,1.268,18.921,3.948
20.000,18.841,1.107,19.066,3.633
22.000,18.999,1.128,19.211,3.422
24.000,19.250,1.033,19.390,3.154
26.000,19.381,1.009,19.579,2.938
28.000,19.609,0.897,19.668,2.636
30.000,19.739,0.820,19.889,2.391
32.000,19.794,0.785,19.997,2.194
34.000,19.944,0.693,20.210,1.922
36.000,20.009,0.608,20.324,1.694
38.000,20.018,0.538,20.405,1.460
40.000,20.142,0.420,20.585,1.199
42.000,20.190,0.339,20.532,1.065
44.000,20.227,0.256,20.596,0.822
46.000,20.174,0.229,20.624,0.706
48.000,20.204,0.200,20.643,0.607
50.000,20.183,0.169,20.653,0.517
52.000,20.139,0.144,20.631,0.447
54.000,20.113,0.141,20.597,0.400
56.000,20.150,0.125,20.637,0.338
58.000,20.209,0.128,20.763,0.302
60.000,20.282,0.119,20.880,0.264
