Alpha,CL,CD,CM,CM2,CM3
-6,0.59072,0.02133,-28.28607,-0.2828607,-0.3559
-4,0.73553,0.03222,-35.26388,-0.3526388,-0.3575
-2,0.87878,0.04554,-42.18933,-0.4218933,-0.359
0,1.02002,0.06118,-49.02867,-0.4902867,-0.3606
2,1.15885,0.07902,-55.74857,-0.5574857,-0.3622
4,1.29488,0.0989,-62.3163,-0.623163,-0.3639
6,1.4277,0.12064,-68.69988,-0.6869988,-0.3655
8,1.55698,0.14403,-74.86816,-0.7486816,-0.3672
10,1.68236,0.16884,-80.79115,-0.8079115,-0.3688
12,1.80355,0.19483,-86.43996,-0.8643996,-0.3705
14,1.92026,0.22174,-91.78707,-0.9178707,-0.3721
16,2.03224,0.24927,-96.80643,-0.9680643,-0.3737
18,2.13928,0.27716,-101.47361,-1.0147361,-0.3752
20,2.24118,0.30509,-105.76582,-1.0576582,-0.3767
22,2.33781,0.33278,-109.6622,-1.096622,-0.3782
24,2.42903,0.35992,-113.14375,-1.1314375,-0.3796
26,2.51478,0.3862,-116.19349,-1.1619349,-0.3809
28,2.59499,0.41135,-118.79659,-1.1879659,-0.3821
